STATE,YEAR,DISTRICT,MUD
"UTTAR PRADESH",2010,FATEHPUR,75
"UTTAR PRADESH",2010,MATHURA,75
"ANDHRA PRADESH",2011,"RANGA REDDY",75
KARNATAKA,2011,RAMANAGAR,75
"ANDHRA PRADESH",2012,WARANGAL,75
"MADHYA PRADESH",2012,BETUL,75
ODISHA,2012,BALASORE,75
RAJASTHAN,2001,BHARATPUR,75
"UTTAR PRADESH",2001,BANDA,75
ASSAM,2002,SIBSAGAR,75
"UTTAR PRADESH",2002,BANDA,75
"UTTAR PRADESH",2002,RAIBAREILLY,75
UTTARAKHAND,2002,HARIDWAR,75
ASSAM,2003,NAGAON,75
GUJARAT,2003,"SURAT COMMR.",75
UTTARAKHAND,2003,HARIDWAR,75
"TAMIL NADU",2005,"THIRUNELVELI RURAL",75
MAHARASHTRA,2006,JALGAON,75
RAJASTHAN,2006,ALWAR,75
RAJASTHAN,2006,BHARATPUR,75
BIHAR,2007,NAWADAH,75
HARYANA,2007,SONIPAT,75
MAHARASHTRA,2007,SATARA,75
"UTTAR PRADESH",2007,"GAUTAMBUDH NAGAR",75
"UTTAR PRADESH",2007,GORAKHPUR,75
"ANDHRA PRADESH",2008,PRAKASHAM,75
JHARKHAND,2008,SIMDEGA,75
BIHAR,2001,AURANGABAD,74
"JAMMU & KASHMIR",2001,ANANTNAG,74
ODISHA,2001,MAYURBHANJ,74
PUNJAB,2001,JALANDHAR,74
PUNJAB,2001,LUDHIANA,74
"TAMIL NADU",2001,"THIRUNELVELI RURAL",74
KARNATAKA,2002,HASSAN,74
ODISHA,2002,KEONJHAR,74
GUJARAT,2003,"VADODARA RURAL",74
"UTTAR PRADESH",2003,VARANASI,74
GUJARAT,2004,"SURAT COMMR.",74
"MADHYA PRADESH",2004,BALAGHAT,74
PUNJAB,2004,JALANDHAR,74
"UTTAR PRADESH",2004,PILIBHIT,74
"UTTAR PRADESH",2004,RAIBAREILLY,74
"UTTAR PRADESH",2004,RAMPUR,74
BIHAR,2005,GOPALGANJ,74
"MADHYA PRADESH",2005,CHHINDWARA,74
MAHARASHTRA,2005,JALGAON,74
BIHAR,2006,BETTIAH,74
"MADHYA PRADESH",2006,SATNA,74
MAHARASHTRA,2006,"NAGPUR RURAL",74
TRIPURA,2006,WEST,74
UTTARAKHAND,2006,"UDHAMSINGH NAGAR",74
KARNATAKA,2007,TUMKUR,74
"MADHYA PRADESH",2007,BHOPAL,74
MAHARASHTRA,2007,SANGLI,74
BIHAR,2008,GOPALGANJ,74
BIHAR,2008,SIWAN,74
"MADHYA PRADESH",2008,SHIVPURI,74
MAHARASHTRA,2008,LATUR,74
MAHARASHTRA,2008,YAVATMAL,74
ODISHA,2008,JAJPUR,74
"TAMIL NADU",2008,CHENNAISUBURBAN,74
"TAMIL NADU",2008,VELLORE,74
"UTTAR PRADESH",2008,AZAMGARH,74
"UTTAR PRADESH",2008,FATEHPUR,74
UTTARAKHAND,2008,HARIDWAR,74
KARNATAKA,2009,MANDYA,74
MAHARASHTRA,2009,"NAGPUR RURAL",74
"WEST BENGAL",2009,MALDA,74
"DELHI UT",2009,NORTH-EAST,74
"DELHI UT",2009,OUTER,74
"ANDHRA PRADESH",2010,"WEST GODAVARI",74
"UTTAR PRADESH",2010,KHIRI,74
"ANDHRA PRADESH",2011,"WEST GODAVARI",74
BIHAR,2011,BETTIAH,74
BIHAR,2011,NAWADAH,74
HARYANA,2011,BHIWANI,74
ASSAM,2012,NAGAON,74
CHHATTISGARH,2012,BILASPUR,74
GUJARAT,2012,"VADODARA RURAL",74
MAHARASHTRA,2012,"AURANGABAD RURAL",74
"TAMIL NADU",2012,DINDIGUL,74
UTTARAKHAND,2012,HARIDWAR,74
PUNJAB,2008,LUDHIANA,73
"ANDHRA PRADESH",2009,"WEST GODAVARI",73
ASSAM,2009,N.C.HILLS,73
BIHAR,2009,BHAGALPUR,73
"MADHYA PRADESH",2009,CHHINDWARA,73
MAHARASHTRA,2009,"NASIK RURAL",73
ODISHA,2009,GANJAM,73
BIHAR,2010,BHAGALPUR,73
BIHAR,2010,MADHUBANI,73
BIHAR,2010,NAWADAH,73
CHHATTISGARH,2010,BIZAPUR,73
"MADHYA PRADESH",2010,SATNA,73
HARYANA,2011,HISSAR,73
JHARKHAND,2011,SAHEBGANJ,73
"MADHYA PRADESH",2011,BHIND,73
"UTTAR PRADESH",2012,AZAMGARH,73
"UTTAR PRADESH",2012,BARABANKI,73
"UTTAR PRADESH",2012,ETAH,73
BIHAR,2001,JEHANABAD,73
HARYANA,2001,SONIPAT,73
JHARKHAND,2001,PALAMU,73
BIHAR,2002,JEHANABAD,73
KARNATAKA,2002,KOLAR,73
"MADHYA PRADESH",2002,JABALPUR,73
"DELHI UT",2002,WEST,73
"ANDHRA PRADESH",2003,"EAST GODAVARI",73
ASSAM,2003,DARRANG,73
MAHARASHTRA,2003,"NAGPUR RURAL",73
"UTTAR PRADESH",2003,FATEHPUR,73
"ANDHRA PRADESH",2004,"RANGA REDDY",73
"TAMIL NADU",2004,"SALEM RURAL",73
CHHATTISGARH,2005,DANTEWARA,73
HARYANA,2005,SONIPAT,73
KARNATAKA,2005,KOLAR,73
"MADHYA PRADESH",2005,SHIVPURI,73
"TAMIL NADU",2005,DINDIGUL,73
"UTTAR PRADESH",2005,VARANASI,73
"ANDHRA PRADESH",2006,KRISHNA,73
BIHAR,2006,MUNGER,73
ODISHA,2006,SUNDARGARH,73
"UTTAR PRADESH",2006,VARANASI,73
ASSAM,2007,"KARBI ANGLONG",73
MAHARASHTRA,2007,LATUR,73
MAHARASHTRA,2007,"NAGPUR COMMR.",73
"ANDHRA PRADESH",2008,ADILABAD,73
CHHATTISGARH,2008,JAGDALPUR,73
BIHAR,2001,KHAGARIA,72
MAHARASHTRA,2001,"AMRAVATI RURAL",72
ODISHA,2001,SUNDARGARH,72
"TAMIL NADU",2001,DINDIGUL,72
BIHAR,2002,DARBHANGA,72
CHHATTISGARH,2002,DURG,72
JHARKHAND,2002,GIRIDIH,72
"MADHYA PRADESH",2002,BHIND,72
"TAMIL NADU",2002,THOOTHUGUDI,72
"UTTAR PRADESH",2002,"GAUTAMBUDH NAGAR",72
BIHAR,2003,BETTIAH,72
MAHARASHTRA,2003,BEED,72
"TAMIL NADU",2003,"COIMBATORE RURAL",72
"UTTAR PRADESH",2003,FATEHGARH,72
"DELHI UT",2003,WEST,72
"ANDHRA PRADESH",2004,"WEST GODAVARI",72
JHARKHAND,2004,GIRIDIH,72
"MADHYA PRADESH",2005,BHOPAL,72
MAHARASHTRA,2005,YAVATMAL,72
ODISHA,2005,KEONJHAR,72
"UTTAR PRADESH",2005,RAIBAREILLY,72
ASSAM,2006,GOLAGHAT,72
BIHAR,2006,GOPALGANJ,72
"MADHYA PRADESH",2006,BHIND,72
"MADHYA PRADESH",2006,SHIVPURI,72
"MADHYA PRADESH",2006,SIDHI,72
"UTTAR PRADESH",2006,J.P.NAGAR,72
"WEST BENGAL",2006,BIRBHUM,72
"ANDHRA PRADESH",2007,"RANGA REDDY",72
BIHAR,2007,DARBHANGA,72
JHARKHAND,2007,SIMDEGA,72
"TAMIL NADU",2007,KRISHNAGIRI,72
BIHAR,2008,SITAMARHI,72
JHARKHAND,2008,DHANBAD,72
KARNATAKA,2008,HASSAN,72
PUNJAB,2008,JALANDHAR,72
"TAMIL NADU",2008,THOOTHUGUDI,72
TRIPURA,2008,WEST,72
"ANDHRA PRADESH",2009,KRISHNA,72
JHARKHAND,2009,KHUNTI,72
RAJASTHAN,2009,UDAIPUR,72
"TAMIL NADU",2009,CHENNAISUBURBAN,72
"TAMIL NADU",2009,KANCHIPURAM,72
"ANDHRA PRADESH",2010,NELLORE,72
HARYANA,2010,ROHTAK,72
ODISHA,2010,ROURKELA,72
"ANDHRA PRADESH",2011,WARANGAL,72
JHARKHAND,2011,HAZARIBAGH,72
JHARKHAND,2011,SIMDEGA,72
"TAMIL NADU",2011,KRISHNAGIRI,72
"TAMIL NADU",2011,THOOTHUGUDI,72
"UTTAR PRADESH",2011,"BHIM NAGAR",72
"ANDHRA PRADESH",2012,"RANGA REDDY",72
ASSAM,2012,CACHAR,72
HARYANA,2012,FARIDABAD,72
JHARKHAND,2012,GIRIDIH,72
"MADHYA PRADESH",2012,SATNA,72
"UTTAR PRADESH",2008,HARDOI,71
CHHATTISGARH,2009,JAGDALPUR,71
RAJASTHAN,2009,BHARATPUR,71
"WEST BENGAL",2009,PURULIA,71
"ANDHRA PRADESH",2010,"EAST GODAVARI",71
BIHAR,2010,BANKA,71
JHARKHAND,2010,KHUNTI,71
JHARKHAND,2010,SAHEBGANJ,71
"MADHYA PRADESH",2010,BHOPAL,71
"MADHYA PRADESH",2010,DHAR,71
BIHAR,2011,DARBHANGA,71
BIHAR,2011,SITAMARHI,71
KARNATAKA,2011,MANDYA,71
"MADHYA PRADESH",2011,CHHINDWARA,71
ODISHA,2011,ANGUL,71
"TAMIL NADU",2011,"MADURAI RURAL",71
TRIPURA,2011,WEST,71
"UTTAR PRADESH",2011,BARABANKI,71
ASSAM,2012,SIBSAGAR,71
BIHAR,2012,BHOJPUR,71
MAHARASHTRA,2012,YAVATMAL,71
ASSAM,2001,"GUWAHATI CITY",71
GUJARAT,2001,"VADODARA RURAL",71
"MADHYA PRADESH",2001,GUNA,71
MAHARASHTRA,2001,"PUNE COMMR.",71
GUJARAT,2002,HIMATNAGAR,71
"MADHYA PRADESH",2002,SHIVPURI,71
MAHARASHTRA,2003,NANDED,71
"TAMIL NADU",2003,CHENNAI,71
ASSAM,2004,GOLAGHAT,71
BIHAR,2004,BANKA,71
BIHAR,2004,KATIHAR,71
"MADHYA PRADESH",2004,BHOPAL,71
MAHARASHTRA,2004,"NAGPUR RURAL",71
"UTTAR PRADESH",2004,ETAWAH,71
CHHATTISGARH,2006,DURG,71
GUJARAT,2006,"SURAT RURAL",71
"MADHYA PRADESH",2006,CHHATARPUR,71
MAHARASHTRA,2006,NANDED,71
"UTTAR PRADESH",2006,HATHRAS,71
BIHAR,2007,KATIHAR,71
MAHARASHTRA,2007,"NAGPUR RURAL",71
JHARKHAND,2001,BOKARO,70
"DELHI UT",2001,WEST,70
CHHATTISGARH,2002,JAGDALPUR,70
"MADHYA PRADESH",2002,CHHATARPUR,70
"JAMMU & KASHMIR",2003,PULWAMA,70
JHARKHAND,2003,PALAMU,70
BIHAR,2004,BUXAR,70
CHHATTISGARH,2004,DANTEWARA,70
"JAMMU & KASHMIR",2004,ANANTNAG,70
"UTTAR PRADESH",2004,JHANSI,70
GUJARAT,2005,"VADODARA RURAL",70
MAHARASHTRA,2005,NANDED,70
ODISHA,2005,MAYURBHANJ,70
"UTTAR PRADESH",2005,FATEHGARH,70
"UTTAR PRADESH",2005,KAUSHAMBI,70
BIHAR,2006,DARBHANGA,70
"ANDHRA PRADESH",2007,"VISAKHA RURAL",70
CHHATTISGARH,2007,JAGDALPUR,70
"MADHYA PRADESH",2007,GWALIOR,70
"MADHYA PRADESH",2007,UJJAIN,70
MAHARASHTRA,2007,YAVATMAL,70
"TAMIL NADU",2007,VILLUPURAM,70
"ANDHRA PRADESH",2008,NELLORE,70
BIHAR,2008,BANKA,70
"UTTAR PRADESH",2008,ETAWAH,70
"MADHYA PRADESH",2009,ALIRAJPUR,70
MAHARASHTRA,2009,LATUR,70
"TAMIL NADU",2009,VILLUPURAM,70
"UTTAR PRADESH",2009,FATEHPUR,70
HARYANA,2010,FARIDABAD,70
JHARKHAND,2010,BOKARO,70
"ANDHRA PRADESH",2011,KRISHNA,70
JHARKHAND,2011,GARHWA,70
MAHARASHTRA,2011,"NAVI MUMBAI",70
"TAMIL NADU",2011,"SALEM RURAL",70
"ANDHRA PRADESH",2012,"EAST GODAVARI",70
JHARKHAND,2012,PALAMU,70
"TAMIL NADU",2012,CUDDALORE,70
"UTTAR PRADESH",2012,SAHARANPUR,70
"MADHYA PRADESH",2008,JABALPUR,69
"TAMIL NADU",2008,"SALEM RURAL",69
ASSAM,2009,KOKRAJHAR,69
JHARKHAND,2009,DHANBAD,69
"TAMIL NADU",2009,DINDIGUL,69
"TAMIL NADU",2009,THANJAVUR,69
"WEST BENGAL",2009,BANKURA,69
JHARKHAND,2010,HAZARIBAGH,69
"MADHYA PRADESH",2010,CHHATARPUR,69
BIHAR,2011,ARARIA,69
JHARKHAND,2012,DHANBAD,69
KARNATAKA,2012,BIJAPUR,69
HARYANA,2001,GURGAON,69
KARNATAKA,2001,KOLAR,69
"TAMIL NADU",2001,THOOTHUGUDI,69
"UTTAR PRADESH",2001,"KUSHI NAGAR",69
"WEST BENGAL",2001,PURULIA,69
"ANDHRA PRADESH",2002,"WEST GODAVARI",69
BIHAR,2002,GOPALGANJ,69
BIHAR,2002,NAWADAH,69
JHARKHAND,2002,PALAMU,69
"MADHYA PRADESH",2002,BALAGHAT,69
MAHARASHTRA,2002,BEED,69
"UTTAR PRADESH",2003,RAIBAREILLY,69
ASSAM,2004,DARRANG,69
JHARKHAND,2004,PALAMU,69
"MADHYA PRADESH",2004,SAGAR,69
MAHARASHTRA,2004,SANGLI,69
"ANDHRA PRADESH",2005,KRISHNA,69
BIHAR,2005,MADHUBANI,69
BIHAR,2005,VAISHALI,69
JHARKHAND,2005,PALAMU,69
"UTTAR PRADESH",2005,"GAUTAMBUDH NAGAR",69
"UTTAR PRADESH",2005,RAMPUR,69
BIHAR,2006,JAMUI,69
HARYANA,2006,SONIPAT,69
JHARKHAND,2006,SIMDEGA,69
MAHARASHTRA,2006,PARBHANI,69
MAHARASHTRA,2007,BEED,69
RAJASTHAN,2007,BHARATPUR,69
"WEST BENGAL",2007,HOWRAH,69
CHHATTISGARH,2008,DANTEWARA,69
KARNATAKA,2008,TUMKUR,69
HARYANA,2001,FARIDABAD,68
MAHARASHTRA,2001,BEED,68
"UTTAR PRADESH",2001,GONDA,68
"MADHYA PRADESH",2002,REWA,68
PUNJAB,2002,LUDHIANA,68
ASSAM,2003,CACHAR,68
BIHAR,2003,DARBHANGA,68
"UTTAR PRADESH",2003,JALAUN,68
BIHAR,2004,JEHANABAD,68
ODISHA,2004,SUNDARGARH,68
"TAMIL NADU",2004,VILLUPURAM,68
BIHAR,2005,ARARIA,68
BIHAR,2005,BUXAR,68
"TAMIL NADU",2005,VILUPPURAM,68
PUNJAB,2006,FEROZPUR,68
"ANDHRA PRADESH",2007,NELLORE,68
ASSAM,2007,"GUWAHATI CITY",68
BIHAR,2007,AURANGABAD,68
"MADHYA PRADESH",2007,BHIND,68
"TAMIL NADU",2007,THANJAVUR,68
"DELHI UT",2007,SOUTH,68
ODISHA,2008,GANJAM,68
"UTTAR PRADESH",2008,BADAUN,68
ASSAM,2009,SIBSAGAR,68
JHARKHAND,2009,DUMKA,68
PUNJAB,2009,LUDHIANA,68
"TAMIL NADU",2009,"MADURAI RURAL",68
BIHAR,2010,SITAMARHI,68
MAHARASHTRA,2010,YAVATMAL,68
"UTTAR PRADESH",2010,AZAMGARH,68
"UTTAR PRADESH",2010,HARDOI,68
"UTTAR PRADESH",2010,MAINPURI,68
"UTTAR PRADESH",2010,RAMPUR,68
"DELHI UT",2010,NORTH-EAST,68
BIHAR,2011,MUNGER,68
KARNATAKA,2011,"MYSORE RURAL",68
"MADHYA PRADESH",2011,UJJAIN,68
MAHARASHTRA,2011,LATUR,68
ODISHA,2011,ROURKELA,68
"TAMIL NADU",2011,CUDDALORE,68
BIHAR,2012,MUNGER,68
JHARKHAND,2012,HAZARIBAGH,68
"UTTAR PRADESH",2012,FATEHGARH,68
"WEST BENGAL",2008,"UTTAR DINAJPUR",67
BIHAR,2009,AURANGABAD,67
BIHAR,2009,SITAMARHI,67
"MADHYA PRADESH",2009,CHHATARPUR,67
MAHARASHTRA,2009,SANGLI,67
PUNJAB,2009,FEROZPUR,67
RAJASTHAN,2009,GANGANAGAR,67
"TAMIL NADU",2009,KRISHNAGIRI,67
"UTTAR PRADESH",2009,KHIRI,67
UTTARAKHAND,2009,HARIDWAR,67
CHHATTISGARH,2010,RAIGARH,67
"WEST BENGAL",2011,BANKURA,67
"ANDHRA PRADESH",2012,"VISAKHA RURAL",67
MAHARASHTRA,2012,LATUR,67
"WEST BENGAL",2012,HOWRAH,67
BIHAR,2001,JAMUI,67
KARNATAKA,2001,MANDYA,67
RAJASTHAN,2001,UDAIPUR,67
"TAMIL NADU",2001,VILLUPURAM,67
"ANDHRA PRADESH",2002,PRAKASHAM,67
BIHAR,2002,KATIHAR,67
BIHAR,2002,LAKHISARAI,67
JHARKHAND,2002,DUMKA,67
"TAMIL NADU",2002,CHENGAI,67
"UTTAR PRADESH",2002,KANNAUJ,67
ASSAM,2003,"KARBI ANGLONG",67
HARYANA,2004,FARIDABAD,67
HARYANA,2004,SONIPAT,67
JHARKHAND,2004,DUMKA,67
"TAMIL NADU",2004,CHENNAI,67
"DELHI UT",2004,WEST,67
MAHARASHTRA,2005,"NAGPUR RURAL",67
"UTTAR PRADESH",2005,ETAWAH,67
"DELHI UT",2005,SOUTH,67
MAHARASHTRA,2006,"AMRAVATI RURAL",67
RAJASTHAN,2006,GANGANAGAR,67
JHARKHAND,2007,PALAMU,67
"TAMIL NADU",2007,"SALEM RURAL",67
ASSAM,2008,BASKA,67
HARYANA,2008,ROHTAK,67
BIHAR,2001,BETTIAH,66
"UTTAR PRADESH",2001,HAMIRPUR,66
"UTTAR PRADESH",2001,KANNAUJ,66
BIHAR,2002,KHAGARIA,66
BIHAR,2002,MADHUBANI,66
HARYANA,2002,GURGAON,66
"DELHI UT",2002,"NORTH EAST",66
"ANDHRA PRADESH",2003,KRISHNA,66
MAHARASHTRA,2003,KOLHAPUR,66
"UTTAR PRADESH",2003,"GAUTAMBUDH NAGAR",66
BIHAR,2004,ARARIA,66
HARYANA,2004,GURGAON,66
KARNATAKA,2004,BIJAPUR,66
"MADHYA PRADESH",2004,CHHINDWARA,66
"MADHYA PRADESH",2004,MORENA,66
"UTTAR PRADESH",2004,BANDA,66
"UTTAR PRADESH",2004,HATHRAS,66
"UTTAR PRADESH",2004,KANNAUJ,66
GUJARAT,2005,BHAVNAGAR,66
"JAMMU & KASHMIR",2005,DODA,66
"MADHYA PRADESH",2005,BETUL,66
"UTTAR PRADESH",2005,J.P.NAGAR,66
"MADHYA PRADESH",2006,MORENA,66
"TAMIL NADU",2006,VILLUPURAM,66
"DELHI UT",2006,SOUTH,66
"DELHI UT",2006,WEST,66
KARNATAKA,2007,KOLAR,66
ODISHA,2007,GANJAM,66
RAJASTHAN,2007,"JAIPUR RURAL",66
"TAMIL NADU",2007,VELLORE,66
"UTTAR PRADESH",2007,ETAWAH,66
"UTTAR PRADESH",2007,FATEHPUR,66
"UTTAR PRADESH",2007,J.P.NAGAR,66
"UTTAR PRADESH",2007,JHANSI,66
"UTTAR PRADESH",2007,VARANASI,66
"WEST BENGAL",2007,BIRBHUM,66
"DELHI UT",2007,NORTH-EAST,66
RAJASTHAN,2008,"JAIPUR RURAL",66
"TAMIL NADU",2008,THANJAVUR,66
"UTTAR PRADESH",2008,BAGHPAT,66
"DELHI UT",2008,SOUTH-EAST,66
"ANDHRA PRADESH",2009,NELLORE,66
BIHAR,2009,MADHUBANI,66
HARYANA,2009,JHAJJAR,66
JHARKHAND,2009,GODDA,66
KARNATAKA,2009,RAMANAGAR,66
MAHARASHTRA,2009,GADCHIROLI,66
CHHATTISGARH,2010,JAGDALPUR,66
GUJARAT,2010,"VADODARA RURAL",66
"WEST BENGAL",2010,COOCHBEHAR,66
"ANDHRA PRADESH",2011,"VISAKHA RURAL",66
BIHAR,2011,JAMUI,66
CHHATTISGARH,2011,JAGDALPUR,66
KARNATAKA,2011,BIJAPUR,66
"MADHYA PRADESH",2011,SATNA,66
"UTTAR PRADESH",2011,BAGHPAT,66
"UTTAR PRADESH",2011,J.P.NAGAR,66
"UTTAR PRADESH",2011,JHANSI,66
"WEST BENGAL",2011,"UTTAR DINAJPUR",66
"DELHI UT",2011,NORTH-EAST,66
JHARKHAND,2012,DUMKA,66
JHARKHAND,2012,SIMDEGA,66
"WEST BENGAL",2012,PURULIA,66
RAJASTHAN,2008,UDAIPUR,65
"UTTAR PRADESH",2008,FATEHGARH,65
"UTTAR PRADESH",2008,"GAUTAMBUDH NAGAR",65
BIHAR,2009,BETTIAH,65
BIHAR,2009,JAMUI,65
HARYANA,2009,ROHTAK,65
"MADHYA PRADESH",2009,BETUL,65
"MADHYA PRADESH",2009,BHOPAL,65
ODISHA,2009,ROURKELA,65
"UTTAR PRADESH",2009,AZAMGARH,65
"DELHI UT",2009,SOUTH-WEST,65
BIHAR,2010,BHABHUA,65
JHARKHAND,2010,SARAIKELA,65
MAHARASHTRA,2010,LATUR,65
BIHAR,2011,BUXAR,65
MAHARASHTRA,2011,KOLHAPUR,65
MAHARASHTRA,2011,"NAGPUR RURAL",65
"TAMIL NADU",2011,DINDIGUL,65
ASSAM,2012,DHUBRI,65
BIHAR,2012,KHAGARIA,65
MAHARASHTRA,2012,SATARA,65
ODISHA,2012,ANGUL,65
"UTTAR PRADESH",2012,JHANSI,65
"ANDHRA PRADESH",2001,KRISHNA,65
ASSAM,2001,DHUBRI,65
ASSAM,2001,"KARBI ANGLONG",65
"WEST BENGAL",2001,KOLKATA,65
"MADHYA PRADESH",2002,BETUL,65
MAHARASHTRA,2002,KOLHAPUR,65
RAJASTHAN,2002,HANUMANGARH,65
RAJASTHAN,2002,UDAIPUR,65
"TAMIL NADU",2002,CUDDALORE,65
"TAMIL NADU",2002,"MADURAI RURAL",65
"ANDHRA PRADESH",2003,"RANGA REDDY",65
BIHAR,2003,GOPALGANJ,65
JHARKHAND,2003,GIRIDIH,65
KARNATAKA,2003,KOLAR,65
"MADHYA PRADESH",2003,BETUL,65
ODISHA,2003,KHURDA,65
HARYANA,2004,ROHTAK,65
KARNATAKA,2004,TUMKUR,65
"MADHYA PRADESH",2004,REWA,65
"UTTAR PRADESH",2004,KAUSHAMBI,65
HARYANA,2005,GURGAON,65
JHARKHAND,2005,SIMDEGA,65
"MADHYA PRADESH",2005,BALAGHAT,65
MAHARASHTRA,2005,KOLHAPUR,65
"UTTAR PRADESH",2005,BANDA,65
"UTTAR PRADESH",2005,HATHRAS,65
UTTARAKHAND,2005,HARIDWAR,65
"ANDHRA PRADESH",2006,"VISAKHA RURAL",65
"JAMMU & KASHMIR",2006,DODA,65
"MADHYA PRADESH",2006,BETUL,65
"MADHYA PRADESH",2006,JABALPUR,65
"MADHYA PRADESH",2006,UJJAIN,65
MAHARASHTRA,2006,KOLHAPUR,65
BIHAR,2007,MADHEPURA,65
HARYANA,2007,FARIDABAD,65
JHARKHAND,2007,DUMKA,65
MAHARASHTRA,2007,KOLHAPUR,65
TRIPURA,2007,WEST,65
"ANDHRA PRADESH",2008,"VISAKHA RURAL",65
ASSAM,2008,GOLAGHAT,65
CHHATTISGARH,2008,JASHPUR,65
CHHATTISGARH,2008,SARGUJA,65
ASSAM,2001,BARPETA,64
GUJARAT,2001,BHAVNAGAR,64
KARNATAKA,2001,HASSAN,64
MAHARASHTRA,2001,AKOLA,64
"TAMIL NADU",2001,"MADURAI RURAL",64
GUJARAT,2002,DAHOD,64
"MADHYA PRADESH",2002,GUNA,64
"UTTAR PRADESH",2002,PRATAPGARH,64
ASSAM,2003,DHUBRI,64
BIHAR,2003,JAMUI,64
BIHAR,2003,JEHANABAD,64
PUNJAB,2003,LUDHIANA,64
"UTTAR PRADESH",2003,KANNAUJ,64
BIHAR,2004,MUNGER,64
"TAMIL NADU",2004,"COIMBATORE RURAL",64
KARNATAKA,2005,TUMKUR,64
MAHARASHTRA,2006,SATARA,64
"UTTAR PRADESH",2006,AZAMGARH,64
"UTTAR PRADESH",2006,PRATAPGARH,64
"ANDHRA PRADESH",2007,KRISHNA,64
"MADHYA PRADESH",2007,SHIVPURI,64
"UTTAR PRADESH",2007,FATEHGARH,64
BIHAR,2008,BETTIAH,64
NAGALAND,2008,DIMAPUR,64
"UTTAR PRADESH",2008,ETAH,64
HARYANA,2009,PANIPAT,64
KARNATAKA,2009,BIJAPUR,64
"MADHYA PRADESH",2009,REWA,64
"UTTAR PRADESH",2009,ETAH,64
MAHARASHTRA,2010,"AMRAVATI RURAL",64
ASSAM,2011,CACHAR,64
JHARKHAND,2011,SARAIKELA,64
ODISHA,2011,JAJPUR,64
"UTTAR PRADESH",2011,FATEHPUR,64
"DELHI UT",2011,WEST,64
HARYANA,2012,JHAJJAR,64
"MADHYA PRADESH",2012,BHIND,64
RAJASTHAN,2008,BHARATPUR,63
"TAMIL NADU",2008,CUDDALORE,63
"UTTAR PRADESH",2008,RAIBAREILLY,63
"WEST BENGAL",2008,"PURAB MIDNAPUR",63
"ANDHRA PRADESH",2009,"RANGA REDDY",63
JHARKHAND,2009,SIMDEGA,63
"MADHYA PRADESH",2009,MORENA,63
BIHAR,2010,BETTIAH,63
BIHAR,2010,KHAGARIA,63
CHHATTISGARH,2010,DANTEWARA,63
"TAMIL NADU",2010,VILLUPURAM,63
"UTTAR PRADESH",2010,ETAH,63
"WEST BENGAL",2010,"UTTAR DINAJPUR",63
"DELHI UT",2010,SOUTH-WEST,63
"DELHI UT",2010,WEST,63
ODISHA,2011,SUNDARGARH,63
MAHARASHTRA,2012,"AMRAVATI RURAL",63
MAHARASHTRA,2012,KOLHAPUR,63
"TAMIL NADU",2012,KRISHNAGIRI,63
"TAMIL NADU",2012,TIRUPPUR,63
"JAMMU & KASHMIR",2001,SRINAGAR,63
JHARKHAND,2001,DUMKA,63
JHARKHAND,2001,GIRIDIH,63
"MADHYA PRADESH",2001,BHIND,63
"MADHYA PRADESH",2001,MORENA,63
"TAMIL NADU",2001,ERODE,63
BIHAR,2002,MUNGER,63
GUJARAT,2002,"AHMEDABAD RURAL",63
HARYANA,2002,ROHTAK,63
ODISHA,2002,KHURDA,63
RAJASTHAN,2002,GANGANAGAR,63
"WEST BENGAL",2002,DARJEELING,63
"UTTAR PRADESH",2003,PILIBHIT,63
"UTTAR PRADESH",2003,RAMPUR,63
ASSAM,2004,KOKRAJHAR,63
BIHAR,2004,LAKHISARAI,63
CHHATTISGARH,2004,JAGDALPUR,63
"TAMIL NADU",2004,"THIRUNELVELI RURAL",63
"UTTAR PRADESH",2004,"GAUTAMBUDH NAGAR",63
"UTTAR PRADESH",2004,PRATAPGARH,63
"WEST BENGAL",2004,MALDA,63
BIHAR,2005,SITAMARHI,63
CHHATTISGARH,2005,JAGDALPUR,63
CHHATTISGARH,2005,JASHPUR,63
JHARKHAND,2005,GIRIDIH,63
KARNATAKA,2005,HASSAN,63
PUNJAB,2005,JALANDHAR,63
"TAMIL NADU",2005,THANJAVUR,63
"TAMIL NADU",2005,THOOTHUGUDI,63
BIHAR,2006,ARARIA,63
"JAMMU & KASHMIR",2006,BARAMULLA,63
KARNATAKA,2006,BIJAPUR,63
MAHARASHTRA,2006,BEED,63
PUNJAB,2006,LUDHIANA,63
"WEST BENGAL",2006,MALDA,63
PUNJAB,2007,JALANDHAR,63
PUNJAB,2007,LUDHIANA,63
BIHAR,2008,KATIHAR,63
JHARKHAND,2008,GIRIDIH,63
JHARKHAND,2008,KHUNTI,63
GUJARAT,2001,"SURAT RURAL",62
ODISHA,2001,KEONJHAR,62
"DELHI UT",2001,"NORTH EAST",62
ASSAM,2002,KOKRAJHAR,62
"JAMMU & KASHMIR",2002,RAMBAN,62
KARNATAKA,2002,BELLARY,62
KARNATAKA,2002,BIJAPUR,62
KARNATAKA,2002,"MYSORE RURAL",62
"MADHYA PRADESH",2002,BHOPAL,62
"MADHYA PRADESH",2002,MORENA,62
"MADHYA PRADESH",2002,SATNA,62
"UTTAR PRADESH",2002,FAIZABAD,62
"UTTAR PRADESH",2002,HAMIRPUR,62
